구분1,구분 2,기능명,텍스트,우선순위,연관기능
예약,예약보드,예약 정보 입력,,1순위,
예약,예약보드,전화기록 분석으로 자동생성,,3순위,
예약,예약보드,예약 변경 Drag&drop,,2순위,
예약,예약보드,예약 연동(네이버),,1순위,
예약,예약보드,예약 보드,,1순위,
자재,자재주문,견적 받기,,,
자재,자재주문,장바구니,,,
자재,자재주문,공동구매,1인 매장 지원,,
자재,자재주문,월 구독하기,,,
자재,자재주문,업체목록,,,
자재,주문관리,주문 관리,,,
자재,주문관리,구독 관리,,,
자재,재고관리,평균 단가,,,
자재,재고관리,주문 수량 연동,,,
자재,자재주문,자재목록,,,
구인구직,포트폴리오,,,,
구인구직,노무 상담,,,,
구인구직,전자계약,,,,
구인구직,채용공고,채용공고 게시,,,
구인구직,포트폴리오,디자이너 포트폴리오,,,
설정,직원정보,직급설정,,,
설정,고객정보,블랙리스트,,,
설정,고객정보,고객목록 내보내기,,미정,
설정,고객정보,고객목록 불러오기,,,
설정,고객정보,고객등록/수정,,,
설정,매장정보,매장목록,,,
설정,직원정보,직원목록,,,
설정,시술정보,시술목록,,,
설정,고객정보,고객목록,,,
홍보/소통,,,,,
고객,리뷰,사진/동영상,,,
고객,결제정보,쿠폰,,,리뷰 게시 동의 (https://www.notion.so/11424aca6dd7806db1f2c6450da05feb?pvs=21)
고객,결제정보,회원권,,,
고객,리뷰,,,,
고객,리뷰,리뷰 작성,,,
고객,결제정보,자동결제,,,
고객,디자이너 정보,디자이너 목록,,,
고객,매장정보,,,,
고객,리뷰,리뷰 게시 동의,,,
고객,리뷰,얼굴 변경,,,"자동 모자이크 (https://www.notion.so/11424aca6dd780cab6bcef04c0dc1bc3?pvs=21), AI 얼굴 변경 (https://www.notion.so/AI-11424aca6dd780c08a40d5740ff6002a?pvs=21)"
고객,스타일,스타일 미리보기,,,
고객관리,시술내역,AI 얼굴 변경,수동 모자이크 우선 제공,2순위,얼굴 변경 (https://www.notion.so/11424aca6dd780bfb46fef1f775628d8?pvs=21)
고객관리,메시지/알림톡/푸쉬,,,,
고객관리,시술내역,시술내역 목록,,,
고객관리,시술내역,리뷰 게시 동의,"동의시 쿠폰 지급
쿠폰 비용 지원",,쿠폰 (https://www.notion.so/11424aca6dd7803a87f9ce377dbf61ef?pvs=21)
고객관리,시술내역,자동 모자이크,수동 모자이크 우선 제공,2순위,얼굴 변경 (https://www.notion.so/11424aca6dd780bfb46fef1f775628d8?pvs=21)
고객관리,시술내역,사진/동영상,,1순위,
Vendor,,구독 관리,,,
Vendor,,리스트 상위 노출,,,
Vendor,,상품 등록,,,
Vendor,,비교견적 제출,,,